side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,BREAKOUT,META,67.3,777.59,4.5,13.96,34.97,1.56,80.5,37.3,3.46,777.59,737.24,858.28,2.0,2,งบอีก 33 วัน,771.11,-0.83,pre,ok,ปิดที่/เหนือ high 20 วัน · RVOL 1.6x · ADX 37 · +35.0% ใน 20 วัน
long,BREAKOUT,TEM,60.3,82.24,7.38,2.34,20.09,1.61,70.4,35.2,5.84,82.24,75.04,96.64,2.0,13,งบอีก 39 วัน,83.44,1.46,pre,ok,ปิดที่/เหนือ high 20 วัน · RVOL 1.6x · ADX 35 · +20.1% ใน 20 วัน
long,PULLBACK,JPM,42.9,338.56,0.31,-3.08,-5.03,0.94,35.0,17.8,2.01,338.56,328.36,358.96,2.0,9,งบอีก 18 วัน,340.53,0.58,pre,ok,RSI 35 · %B -0.02 · -3.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,42.9,54.53,-0.02,-2.42,-6.4,0.85,28.4,26.4,1.34,54.53,53.44,56.72,2.0,91,ไม่ทราบวันงบ,54.7,0.31,pre,ok,RSI 28 · %B 0.03 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,38.1,58.4,-0.14,-3.07,-7.01,0.91,30.8,21.9,2.05,58.4,56.61,61.99,2.0,55,งบอีก 20 วัน,58.62,0.38,pre,ok,RSI 31 · %B 0.01 · -3.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,FIVE,37.4,222.38,-2.21,-6.09,-13.59,0.76,38.1,24.8,4.56,222.38,207.17,252.81,2.0,6,งบอีก 68 วัน,224.24,0.84,pre,ok,RSI 38 · %B -0.08 · -6.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,35.2,56.03,0.05,-3.7,-9.96,1.09,25.1,32.2,2.21,56.03,54.17,59.74,2.0,53,งบอีก 19 วัน,56.42,0.7,pre,ok,RSI 25 · %B 0.08 · -3.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ABNB,33.5,151.39,1.21,-8.76,-19.5,1.75,29.4,25.7,3.62,151.39,143.17,167.83,2.0,12,งบอีก 41 วัน,152.13,0.49,pre,ok,RSI 29 · %B 0.02 · -8.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,IWM,26.8,281.66,-0.09,-1.32,-5.78,1.27,34.1,34.2,1.26,281.66,276.34,292.3,2.0,18,ไม่ทราบวันงบ,282.4,0.26,pre,ok,RSI 34 · %B 0.12 · -1.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,21.6,274.07,-0.53,-2.98,-11.77,0.83,33.4,32.5,2.03,274.07,265.47,290.8,1.95,11,งบอีก 27 วัน,273.5,-0.21,post,ok,RSI 33 · %B 0.19 · -3.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,21.6,46.95,-0.51,-1.98,-9.29,0.9,36.4,24.0,2.1,46.95,45.3,49.9,1.79,60,งบอีก 26 วัน,47.13,0.38,pre,ok,RSI 36 · %B 0.21 · -2.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,18.2,313.17,-0.58,-1.82,-11.2,0.7,34.1,35.0,1.82,313.17,304.6,330.3,2.0,11,งบอีก 27 วัน,313.53,0.12,post,ok,RSI 34 · %B 0.24 · -1.8% ใน 5 วัน แต่ยังเหนือ SMA200
short,BREAKDOWN,AON,74.0,276.09,-1.96,-6.74,-22.0,1.31,22.8,38.6,3.06,276.09,288.78,250.71,2.0,7,งบอีก 35 วัน,278.0,0.69,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.3x · ADX 39 · -22.0% ใน 20 วัน
short,BREAKDOWN,HD,62.5,292.18,-1.53,-3.41,-12.74,1.66,29.8,27.1,2.42,292.18,302.8,270.94,2.0,9,งบอีก 53 วัน,293.01,0.28,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.7x · ADX 27 · -12.7% ใน 20 วัน
short,BREAKDOWN,GD,62.2,336.29,-2.05,-5.52,-11.97,1.35,22.4,47.5,2.08,336.29,346.76,315.35,2.0,9,งบอีก 33 วัน,337.3,0.3,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.4x · ADX 47 · -12.0% ใน 20 วัน
short,BREAKDOWN,NEE,53.3,75.62,-1.82,-6.96,-10.21,1.36,19.3,38.1,1.79,75.62,77.65,71.56,2.0,49,งบอีก 32 วัน,75.9,0.37,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.4x · ADX 38 · -10.2% ใน 20 วัน
short,DISTRIBUTION,FSLR,65.0,172.16,-10.32,-14.42,-16.4,3.03,30.7,17.3,6.04,172.16,187.77,140.94,2.0,6,งบอีก 34 วัน,173.51,0.78,pre,ok,วอลุ่ม 3.0 เท่าปกติ · -10.3% วันเดียว · ปิดที่ 7% ของแท่ง
short,RALLYFADE,ISRG,25.0,399.52,0.31,4.17,7.86,0.66,62.6,14.2,2.79,399.52,416.22,366.11,2.0,5,งบอีก 25 วัน,400.7,0.3,pre,ok,RSI 63 · %B 0.87 · +4.2% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,RGTI,20.8,16.5,3.09,3.19,3.51,1.15,53.9,9.9,6.05,16.5,18.16,13.5,1.81,60,งบอีก 46 วัน,16.39,-0.67,pre,ok,RSI 54 · %B 0.90 · +3.2% ใน 5 วัน แต่ยังใต้ SMA200
