side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,ABNB,62.7,174.54,-4.07,-4.74,-5.5,1.37,47.6,37.1,3.16,174.54,166.27,191.08,2.0,12,งบอีก 57 วัน,172.79,-1.0,pre,ok,RSI 48 · %B -0.16 · -4.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DXCM,57.7,84.53,-3.83,-7.17,-3.56,2.02,43.6,26.9,3.04,84.53,80.67,92.24,2.0,25,งบอีก 50 วัน,84.53,0.0,pre,ok,RSI 44 · %B -0.33 · -7.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,49.3,393.17,-10.08,-8.54,-5.76,3.05,36.8,41.8,3.1,393.17,374.92,429.68,2.0,5,งบอีก 55 วัน,393.22,0.01,pre,ok,RSI 37 · %B -0.20 · -8.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SBUX,45.6,102.01,-2.35,-3.99,-2.52,1.14,38.6,11.3,2.45,102.01,98.27,109.49,2.0,26,งบอีก 49 วัน,101.74,-0.26,pre,ok,RSI 39 · %B -0.18 · -4.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,43.0,297.71,-1.18,-3.8,-3.4,1.1,43.9,21.8,2.11,297.71,288.31,316.52,2.0,10,งบอีก 57 วัน,296.55,-0.39,pre,ok,RSI 44 · %B -0.06 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GD,39.9,356.58,-0.78,-3.98,-9.95,1.24,29.3,32.6,2.01,356.58,345.82,378.09,2.0,9,งบอีก 49 วัน,357.0,0.12,pre,ok,RSI 29 · %B 0.00 · -4.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BLK,39.8,1095.37,-2.4,-5.21,-3.18,1.04,40.8,24.5,2.15,1095.37,1060.04,1166.04,2.0,2,งบอีก 35 วัน,1095.37,0.0,post,ok,RSI 41 · %B -0.09 · -5.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DLTR,36.0,124.04,-5.62,-2.01,-4.12,1.24,42.1,20.7,3.91,124.04,116.77,138.57,2.0,13,งบอีก 84 วัน,123.9,-0.11,pre,ok,RSI 42 · %B -0.05 · -2.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MMM,34.0,167.52,-0.62,-2.51,-7.98,0.83,32.6,30.6,2.03,167.52,162.42,177.73,2.0,19,งบอีก 41 วัน,166.1,-0.85,pre,ok,RSI 33 · %B 0.07 · -2.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,LLY,29.4,1123.91,-2.21,-2.84,-8.77,0.96,36.9,14.5,3.16,1123.91,1070.69,1230.35,2.0,1,งบอีก 50 วัน,1125.26,0.12,pre,ok,RSI 37 · %B 0.05 · -2.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CL,28.4,88.41,-0.41,-1.57,-5.09,1.04,38.9,9.8,1.96,88.41,85.81,93.61,2.0,38,งบอีก 51 วัน,88.0,-0.46,pre,ok,RSI 39 · %B 0.00 · -1.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,RTX,28.4,198.81,-0.99,-4.29,-11.29,0.9,32.6,26.2,2.2,198.81,192.26,211.91,2.0,15,งบอีก 41 วัน,198.56,-0.13,pre,ok,RSI 33 · %B 0.09 · -4.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLP,28.3,84.02,-0.66,-1.13,-1.09,1.53,42.4,12.9,1.28,84.02,82.41,87.24,2.0,62,ไม่ทราบวันงบ,83.68,-0.4,pre,ok,RSI 42 · %B 0.03 · -1.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CB,27.9,336.64,-1.45,-0.58,-3.35,0.97,42.7,16.1,1.76,336.64,327.75,354.43,2.0,11,งบอีก 48 วัน,336.64,-0.0,post,ok,RSI 43 · %B 0.04 · -0.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CROX,26.8,114.35,-2.71,-5.01,-17.25,0.97,34.2,28.2,3.7,114.35,108.0,127.05,2.0,15,งบอีก 50 วัน,114.5,0.13,pre,ok,RSI 34 · %B 0.10 · -5.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PSA,25.7,301.6,-0.14,-1.76,-7.4,1.0,33.5,19.6,2.11,301.6,292.03,320.73,2.0,10,งบอีก 49 วัน,301.6,-0.0,post,ok,RSI 34 · %B 0.11 · -1.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ITW,24.3,268.69,-0.53,-2.43,-8.77,1.07,34.2,23.0,1.99,268.69,260.66,284.76,2.0,12,งบอีก 44 วัน,268.69,-0.0,post,ok,RSI 34 · %B 0.10 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLI,20.3,174.42,-0.48,-0.41,-5.51,0.99,37.1,26.0,1.36,174.42,170.43,181.56,1.79,25,ไม่ทราบวันงบ,173.85,-0.33,pre,ok,RSI 37 · %B 0.21 · -0.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AFL,14.9,115.16,-1.75,-0.6,-5.56,1.0,37.4,28.7,1.68,115.16,112.26,120.97,2.0,34,งบอีก 56 วัน,115.16,-0.0,post,ok,RSI 37 · %B 0.17 · -0.6% ใน 5 วัน แต่ยังเหนือ SMA200
short,BREAKDOWN,TJX,62.7,128.92,-2.39,-3.73,-18.83,1.5,19.3,41.0,2.27,128.92,133.32,120.13,2.0,22,งบอีก 70 วัน,128.56,-0.28,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.5x · ADX 41 · -18.8% ใน 20 วัน
short,BREAKDOWN,MAR,37.6,328.79,-2.29,-3.8,-5.64,1.5,29.1,20.5,2.27,328.79,339.97,306.44,2.0,8,งบอีก 55 วัน,328.12,-0.2,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.5x · ADX 21 · -5.6% ใน 20 วัน
short,DISTRIBUTION,SYK,63.0,276.43,-8.81,-14.63,-20.06,2.83,24.7,15.8,4.03,276.43,293.16,242.97,2.0,5,งบอีก 50 วัน,277.0,0.21,pre,ok,วอลุ่ม 2.8 เท่าปกติ · -8.8% วันเดียว · ปิดที่ 5% ของแท่ง
short,DISTRIBUTION,AMGN,62.1,393.17,-10.08,-8.54,-5.76,3.05,36.8,41.8,3.1,393.17,411.42,356.66,2.0,5,งบอีก 55 วัน,393.22,0.01,pre,ok,วอลุ่ม 3.1 เท่าปกติ · -10.1% วันเดียว · ปิดที่ 11% ของแท่ง
short,DISTRIBUTION,BKNG,57.7,180.3,-6.72,-9.44,-15.3,2.26,32.8,23.1,3.83,180.3,190.67,159.56,2.0,9,งบอีก 48 วัน,176.52,-2.1,pre,ok,วอลุ่ม 2.3 เท่าปกติ · -6.7% วันเดียว · ปิดที่ 6% ของแท่ง
short,DISTRIBUTION,SHOP,46.1,134.1,-7.57,-9.0,-13.58,2.08,42.0,22.7,4.68,134.1,143.5,115.29,2.0,10,งบอีก 55 วัน,137.28,2.37,pre,ok,วอลุ่ม 2.1 เท่าปกติ · -7.6% วันเดียว · ปิดที่ 16% ของแท่ง
short,RALLYFADE,RBLX,56.5,44.82,3.49,8.55,20.97,1.24,62.4,19.7,5.04,44.82,48.21,38.05,2.0,29,งบอีก 50 วัน,44.78,-0.09,pre,ok,RSI 62 · %B 1.13 · +8.5% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,META,18.2,613.48,-0.53,7.19,3.12,1.18,60.9,13.2,3.22,613.48,643.08,554.28,2.0,3,งบอีก 49 วัน,644.35,5.03,pre,against,RSI 61 · %B 0.91 · +7.2% ใน 5 วัน แต่ยังใต้ SMA200
