side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,BAC,55.3,57.9,-2.72,-7.61,-9.86,1.5,28.5,21.9,2.36,57.9,55.85,61.99,2.0,48,งบอีก 27 วัน,58.45,0.95,pre,ok,RSI 29 · %B -0.25 · -7.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,50.2,59.73,-4.0,-3.83,-7.81,2.72,33.4,13.3,2.14,59.73,57.81,63.57,2.0,52,งบอีก 28 วัน,60.31,0.97,pre,ok,RSI 33 · %B -0.31 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PNC,49.9,231.49,-3.86,-3.82,-8.96,1.81,31.1,13.2,2.14,231.49,224.04,246.38,2.0,13,งบอีก 28 วัน,232.89,0.6,pre,ok,RSI 31 · %B -0.34 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,49.1,55.93,-1.62,-1.98,-3.3,1.81,37.4,18.6,1.28,55.93,54.86,58.07,2.0,93,ไม่ทราบวันงบ,56.39,0.82,pre,ok,RSI 37 · %B -0.12 · -2.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,IWM,41.5,283.92,-0.43,-2.31,-5.43,1.42,32.5,29.0,1.24,283.92,278.65,294.46,2.0,18,ไม่ทราบวันงบ,288.1,1.47,pre,ok,RSI 33 · %B 0.01 · -2.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,JPM,40.7,348.92,-1.01,-1.63,-3.94,1.33,43.3,12.8,1.95,348.92,338.69,369.38,2.0,9,งบอีก 26 วัน,352.6,1.05,pre,ok,RSI 43 · %B -0.00 · -1.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XBI,35.7,154.18,0.1,-3.26,-3.7,1.04,40.0,17.0,2.57,154.18,148.23,166.08,2.0,16,ไม่ทราบวันงบ,156.33,1.4,pre,ok,RSI 40 · %B 0.05 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMZN,32.6,245.96,-0.99,-2.55,-5.2,1.04,39.4,12.6,2.49,245.96,236.77,264.35,2.0,10,งบอีก 42 วัน,251.5,2.25,pre,ok,RSI 39 · %B -0.06 · -2.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNH,32.1,375.26,-0.18,-4.53,-4.74,0.93,35.1,26.9,2.71,375.26,360.01,405.76,2.0,6,งบอีก 40 วัน,377.7,0.65,pre,ok,RSI 35 · %B -0.00 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,31.9,287.08,-1.2,-2.76,-5.33,1.49,36.0,20.0,2.13,287.08,277.89,305.46,2.0,10,งบอีก 49 วัน,288.0,0.32,pre,ok,RSI 36 · %B 0.03 · -2.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,31.4,47.9,-1.56,-0.97,-4.66,1.25,34.9,19.7,2.0,47.9,46.46,50.78,2.0,69,งบอีก 35 วัน,48.29,0.81,pre,ok,RSI 35 · %B 0.11 · -1.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,OKE,29.6,92.7,-2.13,-3.26,-4.5,0.87,44.4,22.4,2.76,92.7,88.86,100.38,2.0,26,งบอีก 40 วัน,92.0,-0.75,pre,ok,RSI 44 · %B 0.08 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VRTX,28.5,513.26,-0.27,-1.51,-2.83,0.64,43.3,24.5,2.36,513.26,495.06,549.65,2.0,5,งบอีก 46 วัน,518.03,0.93,pre,ok,RSI 43 · %B 0.10 · -1.5% ใน 5 วัน แต่ยังเหนือ SMA200
