side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,VOLSPIKE,META,50.1,653.69,6.55,12.99,9.11,2.18,70.4,15.0,3.29,653.69,621.45,718.17,2.0,3,งบอีก 49 วัน,649.05,-0.71,post,ok,วอลุ่ม 2.2 เท่าปกติ · +6.6% วันเดียว · ปิดที่ 78% ของแท่ง
long,PULLBACK,ABNB,56.8,169.63,-2.81,-7.07,-8.3,0.98,42.8,34.9,3.26,169.63,161.34,186.2,2.0,12,งบอีก 57 วัน,169.6,-0.02,post,ok,RSI 43 · %B -0.21 · -7.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DXCM,56.0,83.88,-0.77,-6.94,-6.31,0.96,42.0,26.2,3.05,83.88,80.05,91.55,2.0,26,งบอีก 50 วัน,83.88,0.0,post,ok,RSI 42 · %B -0.19 · -6.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ROKU,55.8,152.9,-1.57,-1.69,1.32,2.66,47.5,38.7,1.44,152.9,149.6,159.49,2.0,30,งบอีก 57 วัน,152.5,-0.26,post,ok,RSI 47 · %B 0.01 · -1.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,49.1,391.27,-0.48,-10.69,-5.56,1.16,36.2,40.6,3.0,391.27,373.65,426.51,2.0,5,งบอีก 55 วัน,391.58,0.08,post,ok,RSI 36 · %B -0.11 · -10.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SBUX,47.1,100.04,-1.93,-5.76,-6.21,1.06,34.4,12.8,2.48,100.04,96.32,107.49,2.0,26,งบอีก 49 วัน,100.05,0.01,post,ok,RSI 34 · %B -0.21 · -5.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SPG,46.1,204.53,-3.47,-3.46,-6.83,1.57,29.4,30.4,1.84,204.53,198.88,215.83,2.0,17,งบอีก 54 วัน,205.5,0.47,post,ok,RSI 29 · %B -0.08 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,44.9,295.24,-0.83,-3.3,-4.55,1.06,41.4,20.4,2.09,295.24,285.98,313.76,2.0,10,งบอีก 57 วัน,295.24,0.0,post,ok,RSI 41 · %B -0.11 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MMM,42.3,164.4,-1.86,-3.43,-10.23,1.17,27.9,32.0,2.07,164.4,159.29,174.63,2.0,19,งบอีก 41 วัน,164.4,0.0,post,ok,RSI 28 · %B 0.01 · -3.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BLK,41.5,1072.03,-2.13,-4.97,-6.69,0.84,36.2,25.2,2.2,1072.03,1036.63,1142.82,2.0,2,งบอีก 35 วัน,1072.03,-0.0,post,ok,RSI 36 · %B -0.14 · -5.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLRE,38.6,43.41,-1.12,-1.43,-1.52,1.14,34.9,17.6,1.2,43.41,42.63,44.98,2.0,127,ไม่ทราบวันงบ,43.41,0.0,post,ok,RSI 35 · %B -0.01 · -1.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,38.4,48.37,-1.29,-0.68,-3.14,0.98,36.3,23.2,2.04,48.37,46.89,51.33,2.0,67,งบอีก 43 วัน,48.37,0.0,post,ok,RSI 36 · %B 0.06 · -0.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DLTR,37.7,118.39,-4.55,-10.11,-7.55,1.62,35.6,21.9,4.16,118.39,111.01,133.16,2.0,13,งบอีก 84 วัน,119.75,1.15,post,ok,RSI 36 · %B -0.25 · -10.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,35.8,284.74,-1.29,-2.02,-2.78,0.77,34.9,26.0,2.09,284.74,275.81,302.6,2.0,11,งบอีก 43 วัน,284.74,0.0,post,ok,RSI 35 · %B 0.07 · -2.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLB,34.6,51.39,-1.06,-1.31,-3.47,1.21,41.3,13.6,1.6,51.39,50.15,53.86,2.0,80,ไม่ทราบวันงบ,51.5,0.21,post,ok,RSI 41 · %B -0.01 · -1.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ADP,34.4,265.22,-1.02,-6.44,-2.17,0.86,41.5,32.5,2.33,265.22,255.94,283.78,2.0,10,งบอีก 49 วัน,265.2,-0.01,post,ok,RSI 42 · %B 0.04 · -6.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,34.0,323.3,-1.41,-2.9,-3.38,0.93,34.6,22.8,1.99,323.3,313.67,342.55,2.0,10,งบอีก 43 วัน,323.3,0.0,post,ok,RSI 35 · %B 0.05 · -2.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CROX,32.4,111.09,-2.85,-3.63,-15.66,1.35,30.8,29.9,3.77,111.09,104.81,123.65,2.0,15,งบอีก 50 วัน,111.2,0.1,post,ok,RSI 31 · %B 0.03 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GM,31.9,83.76,-2.37,-2.18,-6.26,1.43,43.8,15.2,2.66,83.76,80.42,90.44,2.0,29,งบอีก 41 วัน,84.25,0.58,post,ok,RSI 44 · %B 0.01 · -2.2% ใน 5 วัน แต่ยังเหนือ SMA200
