side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,BREAKOUT,MSTR,71.3,153.92,16.39,17.52,36.95,1.99,66.1,38.4,6.08,153.92,139.89,181.98,2.0,7,งบอีก 38 วัน,166.29,8.04,pre,ran,ปิดที่/เหนือ high 20 วัน · RVOL 2.0x · ADX 38 · +37.0% ใน 20 วัน
long,VOLSPIKE,COIN,58.8,194.25,11.66,10.84,12.71,2.02,58.2,25.1,6.47,194.25,175.39,231.98,2.0,5,งบอีก 38 วัน,204.99,5.53,pre,ran,วอลุ่ม 2.0 เท่าปกติ · +11.7% วันเดียว · ปิดที่ 89% ของแท่ง
long,VOLSPIKE,DXCM,56.8,89.35,1.61,7.61,-0.96,4.1,58.5,20.9,2.85,89.35,85.53,96.98,2.0,26,งบอีก 38 วัน,89.91,0.63,pre,ok,วอลุ่ม 4.1 เท่าปกติ · +1.6% วันเดียว · ปิดที่ 77% ของแท่ง
long,VOLSPIKE,ETN,47.6,424.77,3.74,-0.14,2.28,2.41,54.8,12.7,3.67,424.77,401.4,471.51,2.0,4,งบอีก 43 วัน,431.7,1.63,pre,ok,วอลุ่ม 2.4 เท่าปกติ · +3.7% วันเดียว · ปิดที่ 96% ของแท่ง
long,VOLSPIKE,ADI,47.5,375.72,3.6,-0.81,1.48,2.26,54.8,15.7,3.05,375.72,358.54,410.07,2.0,5,งบอีก 64 วัน,380.0,1.14,pre,ok,วอลุ่ม 2.3 เท่าปกติ · +3.6% วันเดียว · ปิดที่ 98% ของแท่ง
long,VOLSPIKE,ISRG,30.8,393.33,2.55,6.55,5.03,2.17,61.2,11.6,3.02,393.33,375.5,429.0,2.0,5,งบอีก 29 วัน,395.94,0.66,pre,ok,วอลุ่ม 2.2 เท่าปกติ · +2.6% วันเดียว · ปิดที่ 90% ของแท่ง
long,PULLBACK,WELL,48.4,228.87,-1.46,-2.86,-3.59,3.42,37.2,10.0,2.16,228.87,221.45,243.7,2.0,13,งบอีก 35 วัน,228.0,-0.38,pre,ok,RSI 37 · %B -0.11 · -2.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,47.0,57.73,-0.77,-7.91,-6.68,1.49,29.2,25.1,2.25,57.73,55.78,61.63,2.0,51,งบอีก 23 วัน,58.2,0.81,pre,ok,RSI 29 · %B -0.03 · -7.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VZ,44.3,48.09,-0.5,-4.98,-2.24,2.42,42.0,19.2,2.18,48.09,46.51,51.24,2.0,63,งบอีก 29 วัน,48.22,0.28,pre,ok,RSI 42 · %B -0.12 · -5.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CVS,43.0,88.84,-1.58,-6.15,-5.14,3.75,29.6,31.1,2.64,88.84,85.33,95.87,2.0,28,งบอีก 37 วัน,88.86,0.02,pre,ok,RSI 30 · %B -0.10 · -6.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GM,39.3,82.2,-5.1,-3.99,-4.59,3.38,41.9,12.8,3.14,82.2,78.32,89.95,2.0,25,งบอีก 29 วัน,82.41,0.26,pre,ok,RSI 42 · %B -0.20 · -4.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,37.9,47.1,-1.67,-3.78,-7.59,2.77,30.3,20.8,2.04,47.1,45.66,49.99,2.0,69,งบอีก 31 วัน,46.95,-0.32,pre,ok,RSI 30 · %B 0.07 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,37.6,60.06,-0.32,-4.42,-2.78,2.12,36.4,16.2,2.03,60.06,58.2,63.72,1.97,53,งบอีก 24 วัน,60.54,0.8,pre,ok,RSI 36 · %B -0.00 · -4.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,37.0,55.86,-0.04,-2.43,-1.91,1.18,36.9,20.9,1.27,55.86,54.8,57.99,2.0,94,ไม่ทราบวันงบ,56.01,0.27,pre,ok,RSI 37 · %B 0.02 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PNC,34.3,233.17,0.5,-4.53,-3.5,2.12,34.6,16.3,2.05,233.17,225.47,247.49,1.86,12,งบอีก 24 วัน,233.71,0.23,post,ok,RSI 35 · %B 0.02 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,IWM,29.2,284.1,-0.47,-1.66,-4.56,1.54,34.4,31.9,1.24,284.1,278.81,294.68,2.0,18,ไม่ทราบวันงบ,286.25,0.76,pre,ok,RSI 34 · %B 0.11 · -1.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,29.2,284.18,-0.68,-2.49,-5.38,2.39,33.5,21.5,2.09,284.18,275.28,301.97,2.0,11,งบอีก 45 วัน,284.02,-0.06,pre,ok,RSI 34 · %B 0.06 · -2.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,27.1,279.37,-1.1,-1.77,-8.09,2.15,32.1,27.3,1.98,279.37,271.08,295.94,2.0,12,งบอีก 31 วัน,277.56,-0.65,pre,ok,RSI 32 · %B 0.18 · -1.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,24.6,314.16,-1.51,-1.91,-9.36,1.7,29.3,30.3,1.84,314.16,305.5,331.49,2.0,11,งบอีก 31 วัน,314.16,-0.0,pre,ok,RSI 29 · %B 0.15 · -1.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PGR,23.0,213.48,-1.3,-1.9,-3.11,3.17,44.3,11.1,1.99,213.48,207.09,226.26,2.0,15,งบอีก 23 วัน,212.74,-0.35,post,ok,RSI 44 · %B 0.03 · -1.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SLB,22.3,51.12,-1.84,-8.81,-4.54,1.81,38.6,22.8,3.64,51.12,48.33,56.7,2.0,35,งบอีก 32 วัน,50.9,-0.43,pre,ok,RSI 39 · %B 0.05 · -8.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNH,16.8,376.9,0.45,-0.58,-2.07,1.81,36.9,29.9,2.55,376.9,362.47,405.76,2.0,6,งบอีก 22 วัน,377.81,0.24,pre,ok,RSI 37 · %B 0.13 · -0.6% ใน 5 วัน แต่ยังเหนือ SMA200
short,BREAKDOWN,SO,72.0,85.52,-1.43,-1.89,-6.46,2.58,29.5,32.0,1.57,85.52,87.53,81.5,2.0,49,งบอีก 38 วัน,85.45,-0.08,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 2.6x · ADX 32 · -6.5% ใน 20 วัน
short,BREAKDOWN,SHAK,70.2,54.88,-1.77,-13.78,-25.69,1.52,26.4,31.1,5.1,54.88,59.08,46.48,2.0,23,งบอีก 38 วัน,56.0,2.04,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.5x · ADX 31 · -25.7% ใน 20 วัน
short,BREAKDOWN,NCLH,69.0,14.12,-1.88,-4.72,-15.7,1.46,26.5,36.5,4.16,14.12,15.0,12.36,2.0,113,งบอีก 44 วัน,14.43,2.22,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.5x · ADX 37 · -15.7% ใน 20 วัน
short,BREAKDOWN,CCL,67.7,21.84,-1.49,-4.0,-13.91,1.34,27.1,37.7,3.36,21.84,22.94,19.64,2.0,90,งบอีก 8 วัน,22.41,2.6,pre,ok,ปิดที่/ใต้ low 20 วัน · RVOL 1.3x · ADX 38 · -13.9% ใน 20 วัน
