side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,VOLSPIKE,CHPT,66.3,9.89,8.92,77.56,59.0,5.13,78.9,19.2,6.35,9.89,8.95,11.77,2.0,106,งบอีก 85 วัน,10.13,2.43,pre,ok,วอลุ่ม 5.1 เท่าปกติ · +8.9% วันเดียว · ปิดที่ 62% ของแท่ง
long,PULLBACK,DXCM,49.5,87.9,-2.02,-3.22,3.72,0.56,52.9,28.3,2.83,87.9,84.17,95.36,2.0,26,งบอีก 51 วัน,87.1,-0.91,pre,ok,RSI 53 · %B 0.06 · -3.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GD,41.3,359.39,-1.77,-5.25,-8.33,1.23,31.0,30.4,2.02,359.39,348.48,381.2,2.0,9,งบอีก 50 วัน,357.38,-0.56,pre,ok,RSI 31 · %B -0.02 · -5.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SPG,36.5,209.44,-0.98,-2.39,-6.04,0.7,32.0,27.6,1.61,209.44,204.38,219.55,2.0,19,งบอีก 55 วัน,208.8,-0.31,pre,ok,RSI 32 · %B 0.03 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MMM,34.3,168.56,0.15,-3.32,-7.84,0.83,34.3,29.5,2.04,168.56,163.39,178.9,2.0,19,งบอีก 42 วัน,167.51,-0.62,pre,ok,RSI 34 · %B 0.06 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PM,31.6,182.53,-1.96,-4.88,-3.71,0.75,40.5,15.2,2.44,182.53,175.86,195.87,2.0,14,งบอีก 43 วัน,181.52,-0.55,pre,ok,RSI 41 · %B -0.01 · -4.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PSA,29.8,302.01,-1.22,-3.67,-8.04,0.67,33.9,18.9,2.18,302.01,292.14,321.74,2.0,10,งบอีก 50 วัน,302.01,-0.0,post,ok,RSI 34 · %B 0.07 · -3.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BKNG,27.9,193.29,-0.94,-6.0,-9.85,1.3,41.9,22.4,3.3,193.29,183.71,212.45,2.0,10,งบอีก 49 วัน,192.96,-0.17,pre,ok,RSI 42 · %B -0.00 · -6.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CL,27.0,88.77,-1.47,-2.18,-4.82,1.04,40.2,8.7,2.01,88.77,86.1,94.11,2.0,37,งบอีก 52 วัน,88.37,-0.45,pre,ok,RSI 40 · %B 0.01 · -2.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,RTX,26.8,200.79,-0.66,-5.16,-9.97,0.68,34.8,25.4,2.2,200.79,194.16,214.06,2.0,15,งบอีก 42 วัน,198.91,-0.94,pre,ok,RSI 35 · %B 0.10 · -5.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PLD,23.6,137.34,-0.73,-2.39,-2.01,0.72,38.7,14.5,1.61,137.34,134.03,143.96,2.0,30,งบอีก 37 วัน,137.0,-0.25,pre,ok,RSI 39 · %B 0.05 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ITW,23.4,270.12,-0.56,-3.56,-8.95,1.07,35.7,22.6,2.02,270.12,261.93,286.5,2.0,12,งบอีก 45 วัน,270.12,0.0,post,ok,RSI 36 · %B 0.10 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CROX,22.8,117.53,1.31,-3.85,-13.97,0.91,37.9,26.9,3.65,117.53,111.1,130.4,2.0,15,งบอีก 51 วัน,117.62,0.08,pre,ok,RSI 38 · %B 0.21 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MDB,18.4,368.74,-4.09,-17.44,-7.54,1.07,42.2,22.9,6.41,368.74,333.31,439.61,2.0,2,งบอีก 84 วัน,364.49,-1.15,pre,ok,RSI 42 · %B -0.02 · -17.4% ใน 5 วัน แต่ยังเหนือ SMA200
short,RALLYFADE,RBLX,55.5,43.31,4.34,12.41,14.61,0.86,58.4,18.7,5.16,43.31,46.66,36.61,2.0,29,งบอีก 51 วัน,44.17,1.99,pre,ok,RSI 58 · %B 1.10 · +12.4% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,META,26.6,616.77,1.0,6.7,4.17,1.01,62.4,12.6,3.26,616.77,646.91,556.49,2.0,3,งบอีก 50 วัน,615.0,-0.29,pre,ok,RSI 62 · %B 0.98 · +6.7% ใน 5 วัน แต่ยังใต้ SMA200
