side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,VOLSPIKE,TWLO,57.6,284.53,6.94,17.5,27.83,2.25,73.8,23.5,4.33,284.53,266.04,321.51,2.0,5,งบอีก 37 วัน,284.93,0.14,post,ok,วอลุ่ม 2.2 เท่าปกติ · +6.9% วันเดียว · ปิดที่ 90% ของแท่ง
long,PULLBACK,XLF,53.4,54.8,-1.97,-3.61,-5.87,2.25,29.9,23.1,1.37,54.8,53.67,57.05,2.0,88,ไม่ทราบวันงบ,54.84,0.07,post,ok,RSI 30 · %B -0.09 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,JPM,51.3,340.0,-3.42,-3.54,-4.6,1.67,35.4,15.0,2.12,340.0,329.19,361.62,2.0,9,งบอีก 21 วัน,340.74,0.22,post,ok,RSI 35 · %B -0.25 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,48.2,56.2,-3.04,-5.58,-9.83,1.21,25.4,28.5,2.35,56.2,54.22,60.16,2.0,50,งบอีก 22 วัน,56.35,0.27,post,ok,RSI 25 · %B -0.05 · -5.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PNC,46.2,227.96,-2.27,-5.32,-6.45,1.55,29.2,18.7,2.14,227.96,220.64,242.61,2.0,13,งบอีก 23 วัน,227.96,-0.0,post,ok,RSI 29 · %B -0.07 · -5.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,OKE,45.4,90.09,-1.86,-4.89,-3.15,0.88,37.4,19.0,2.8,90.09,86.31,97.65,2.0,26,งบอีก 35 วัน,90.09,0.0,post,ok,RSI 37 · %B -0.11 · -4.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VZ,45.3,46.45,-2.58,-9.72,-7.38,1.57,34.0,21.4,2.31,46.45,44.84,49.67,2.0,62,งบอีก 28 วัน,46.59,0.3,post,ok,RSI 34 · %B -0.19 · -9.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,EOG,39.9,139.52,-1.32,-9.25,-7.12,1.0,40.2,11.6,2.74,139.52,133.78,151.0,2.0,17,งบอีก 44 วัน,139.53,0.01,post,ok,RSI 40 · %B -0.05 · -9.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,V,38.1,362.04,-2.14,-3.62,-5.33,1.39,40.8,14.2,1.69,362.04,352.84,380.43,2.0,10,งบอีก 35 วัน,362.04,-0.0,post,ok,RSI 41 · %B 0.00 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,37.5,59.44,-1.65,-4.47,-4.77,1.24,34.8,18.6,2.08,59.44,57.59,63.14,2.0,54,งบอีก 23 วัน,59.44,0.0,post,ok,RSI 35 · %B -0.00 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLE,36.4,61.78,-1.09,-6.29,-2.11,1.27,42.7,21.4,2.13,61.78,59.8,65.74,2.0,50,ไม่ทราบวันงบ,61.91,0.21,post,ok,RSI 43 · %B 0.04 · -6.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSCO,36.0,106.44,-4.5,-3.3,-3.44,2.1,40.8,26.4,2.92,106.44,101.78,115.76,2.0,21,งบอีก 51 วัน,106.36,-0.08,post,ok,RSI 41 · %B -0.06 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,29.8,46.59,1.3,-4.25,-9.43,1.09,31.8,24.0,2.13,46.59,45.1,49.57,2.0,67,งบอีก 30 วัน,46.6,0.02,post,ok,RSI 32 · %B 0.11 · -4.3% ใน 5 วัน แต่ยังเหนือ SMA200
