side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,VOLSPIKE,CROX,52.9,123.0,6.59,13.02,-2.17,2.0,54.6,30.8,3.64,123.0,116.29,136.42,2.0,14,งบอีก 42 วัน,123.25,0.2,post,ok,วอลุ่ม 2.0 เท่าปกติ · +6.6% วันเดียว · ปิดที่ 66% ของแท่ง
long,VOLSPIKE,TMO,42.7,658.32,1.53,9.14,7.3,2.26,71.9,32.2,2.4,658.32,634.59,705.78,2.0,4,งบอีก 34 วัน,659.31,0.15,post,ok,วอลุ่ม 2.3 เท่าปกติ · +1.5% วันเดียว · ปิดที่ 64% ของแท่ง
long,PULLBACK,BAC,50.1,58.18,0.48,-7.0,-7.9,1.05,30.7,23.6,2.31,58.18,56.16,62.21,2.0,49,งบอีก 27 วัน,58.23,0.08,post,ok,RSI 31 · %B -0.07 · -7.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PNC,48.9,232.01,0.22,-4.51,-5.86,1.09,32.2,14.8,2.11,232.01,224.66,246.71,2.0,13,งบอีก 28 วัน,232.01,0.0,post,ok,RSI 32 · %B -0.13 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VZ,45.2,48.33,-2.87,-3.28,-2.09,1.56,43.3,18.3,2.16,48.33,46.76,51.46,2.0,63,งบอีก 33 วัน,48.42,0.19,post,ok,RSI 43 · %B -0.15 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,42.8,55.88,-0.09,-1.74,-2.78,0.94,37.1,19.7,1.29,55.88,54.8,58.05,2.0,92,ไม่ทราบวันงบ,55.89,0.01,post,ok,RSI 37 · %B -0.03 · -1.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,40.4,60.25,0.87,-3.46,-4.09,1.16,37.3,14.8,2.09,60.25,58.18,64.03,1.83,48,งบอีก 28 วัน,60.46,0.35,post,ok,RSI 37 · %B -0.03 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CVS,38.9,90.27,-1.58,-5.27,-3.61,1.27,32.4,29.0,2.6,90.27,86.75,97.3,2.0,28,งบอีก 41 วัน,90.4,0.14,post,ok,RSI 32 · %B -0.06 · -5.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,WELL,34.8,232.26,-0.96,-1.46,-1.47,0.82,42.4,9.9,2.15,232.26,224.77,247.25,2.0,13,งบอีก 39 วัน,232.26,0.0,post,ok,RSI 42 · %B 0.03 · -1.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,JPM,31.8,349.31,0.11,-1.2,-2.23,1.01,43.9,13.5,1.98,349.31,338.93,370.07,2.0,9,งบอีก 26 วัน,349.29,-0.01,post,ok,RSI 44 · %B 0.09 · -1.2% ใน 5 วัน แต่ยังเหนือ SMA200
