side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,BAC,53.2,59.52,0.08,-4.6,-6.84,1.57,34.4,20.2,2.17,59.52,57.59,63.39,2.0,51,งบอีก 29 วัน,59.6,0.13,post,ok,RSI 34 · %B -0.11 · -4.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XBI,42.4,154.03,-2.27,-4.88,-3.45,1.35,39.6,16.8,2.6,154.03,148.03,166.03,2.0,16,ไม่ทราบวันงบ,154.23,0.13,post,ok,RSI 40 · %B -0.01 · -4.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNH,39.3,375.93,-1.99,-6.21,-4.98,0.92,35.4,25.3,2.78,375.93,360.27,407.26,2.0,6,งบอีก 42 วัน,376.0,0.02,post,ok,RSI 35 · %B -0.08 · -6.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GS,39.1,976.67,-1.19,-5.78,-7.1,1.31,36.7,12.5,2.78,976.67,935.9,1058.21,2.0,2,งบอีก 28 วัน,976.01,-0.07,post,ok,RSI 37 · %B -0.11 · -5.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,WELL,37.9,232.76,-0.62,-1.89,-1.08,0.79,42.4,11.3,2.14,232.76,225.29,247.71,2.0,13,งบอีก 41 วัน,232.76,0.0,post,ok,RSI 42 · %B 0.00 · -1.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ABNB,36.2,168.32,-1.37,-3.56,-6.12,0.53,42.4,28.4,3.05,168.32,160.62,183.72,2.0,12,งบอีก 51 วัน,168.51,0.11,post,ok,RSI 42 · %B 0.08 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,QQQ,35.0,704.54,-0.65,-1.92,-3.47,0.84,44.0,9.9,1.28,704.54,691.06,731.51,2.0,7,ไม่ทราบวันงบ,705.14,0.09,post,ok,RSI 44 · %B 0.02 · -1.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMZN,32.3,248.42,-2.02,-3.33,-4.93,1.11,41.4,12.7,2.5,248.42,239.09,267.07,2.0,10,งบอีก 44 วัน,248.19,-0.09,post,ok,RSI 41 · %B -0.04 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,REGN,32.1,774.11,-2.47,-4.47,-3.95,0.86,44.1,30.9,2.63,774.11,743.62,835.1,2.0,3,งบอีก 43 วัน,774.0,-0.01,post,ok,RSI 44 · %B 0.01 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,31.0,375.65,-1.53,-4.46,-10.43,0.99,32.3,39.0,2.9,375.65,359.31,408.32,2.0,6,งบอีก 49 วัน,377.5,0.49,post,ok,RSI 32 · %B 0.05 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
