side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,OKE,40.4,88.63,-2.8,-5.17,-6.43,0.78,35.3,16.4,2.83,88.63,84.87,96.14,2.0,26,งบอีก 32 วัน,88.63,0.0,post,ok,RSI 35 · %B -0.06 · -5.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLE,32.0,62.04,-0.89,-3.53,-0.4,1.14,44.6,21.4,2.04,62.04,60.14,65.84,2.0,52,ไม่ทราบวันงบ,61.92,-0.2,post,ok,RSI 45 · %B 0.09 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,FIVE,27.7,222.6,0.1,-4.93,-9.87,0.84,38.3,25.4,4.53,222.6,207.47,252.85,2.0,6,งบอีก 68 วัน,222.6,-0.0,post,ok,RSI 38 · %B 0.01 · -4.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,27.3,54.84,0.57,-1.83,-5.25,0.85,32.9,27.8,1.31,54.84,53.76,57.0,2.0,92,ไม่ทราบวันงบ,54.89,0.09,post,ok,RSI 33 · %B 0.14 · -1.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CB,26.2,333.37,-0.44,-2.13,-1.46,0.93,37.9,10.7,1.5,333.37,325.85,348.4,2.0,13,งบอีก 32 วัน,333.37,0.0,post,ok,RSI 38 · %B 0.06 · -2.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,23.3,56.7,1.2,-1.78,-7.31,0.74,31.0,33.5,2.14,56.7,54.88,60.33,2.0,55,งบอีก 19 วัน,56.73,0.06,post,ok,RSI 31 · %B 0.18 · -1.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,IWM,23.0,281.97,0.11,-0.75,-5.95,1.0,34.9,34.7,1.25,281.97,276.7,292.51,2.0,18,ไม่ทราบวันงบ,282.29,0.11,post,ok,RSI 35 · %B 0.16 · -0.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,22.0,46.78,-0.36,-0.68,-9.24,0.8,35.4,24.2,2.03,46.78,45.32,49.63,1.94,68,งบอีก 26 วัน,46.98,0.42,post,ok,RSI 35 · %B 0.20 · -0.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,21.7,273.79,-0.1,-2.0,-11.01,0.73,33.2,33.4,1.96,273.79,265.58,289.9,1.96,12,งบอีก 27 วัน,273.7,-0.03,post,ok,RSI 33 · %B 0.20 · -2.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,18.3,313.0,-0.05,-0.37,-10.04,0.52,33.9,35.9,1.77,313.0,304.71,329.58,2.0,12,งบอีก 27 วัน,313.0,0.0,post,ok,RSI 34 · %B 0.25 · -0.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SPG,13.8,204.82,0.06,-0.24,-4.69,0.69,36.6,41.7,1.47,204.82,200.31,213.84,2.0,22,งบอีก 38 วัน,211.14,3.09,post,ran,RSI 37 · %B 0.34 · -0.2% ใน 5 วัน แต่ยังเหนือ SMA200
short,RALLYFADE,ISRG,29.8,405.18,1.42,3.01,10.38,1.04,65.4,14.2,2.81,405.18,422.24,371.07,2.0,5,งบอีก 25 วัน,405.2,0.0,post,ok,RSI 65 · %B 0.91 · +3.0% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,RGTI,24.3,16.66,0.97,5.71,1.34,1.05,55.0,10.7,5.97,16.66,18.16,13.68,1.99,66,งบอีก 46 วัน,16.69,0.18,post,ok,RSI 55 · %B 0.95 · +5.7% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,AAL,23.0,13.87,3.9,7.02,1.09,1.08,55.3,25.9,3.41,13.87,14.58,12.45,2.0,140,งบอีก 27 วัน,13.89,0.14,post,ok,RSI 55 · %B 1.06 · +7.0% ใน 5 วัน แต่ยังใต้ SMA200
