side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,BREAKOUT,TWLO,66.0,266.06,9.11,14.74,18.09,1.71,68.4,20.8,4.41,266.06,248.46,301.26,2.0,5,งบอีก 37 วัน,271.6,2.08,pre,ok,ปิดที่/เหนือ high 20 วัน · RVOL 1.7x · ADX 21 · +18.1% ใน 20 วัน
long,VOLSPIKE,META,64.8,741.25,11.34,11.37,34.8,2.6,77.8,29.7,3.5,741.25,702.32,819.1,2.0,2,งบอีก 36 วัน,735.71,-0.75,pre,ok,วอลุ่ม 2.6 เท่าปกติ · +11.3% วันเดียว · ปิดที่ 84% ของแท่ง
long,VOLSPIKE,SHOP,56.7,137.92,7.33,3.01,-7.59,2.09,51.3,18.3,4.45,137.92,128.71,156.34,2.0,10,งบอีก 42 วัน,145.2,5.28,pre,ran,วอลุ่ม 2.1 เท่าปกติ · +7.3% วันเดียว · ปิดที่ 99% ของแท่ง
long,VOLSPIKE,ARM,56.7,322.9,17.16,35.1,32.71,3.17,69.5,16.9,5.83,322.9,294.65,379.4,2.0,3,งบอีก 43 วัน,319.37,-1.09,pre,ok,วอลุ่ม 3.2 เท่าปกติ · +17.2% วันเดียว · ปิดที่ 96% ของแท่ง
long,VOLSPIKE,AMD,50.6,615.52,9.95,24.75,30.06,2.32,73.0,17.3,4.28,615.52,575.99,694.58,2.0,2,งบอีก 42 วัน,607.05,-1.38,pre,ok,วอลุ่ม 2.3 เท่าปกติ · +9.9% วันเดียว · ปิดที่ 97% ของแท่ง
long,PULLBACK,CSX,49.6,45.99,-2.36,-5.97,-10.85,1.61,25.2,22.5,2.2,45.99,44.47,49.03,2.0,65,งบอีก 30 วัน,46.3,0.67,pre,ok,RSI 25 · %B -0.03 · -6.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VZ,43.0,47.68,-0.85,-7.04,-3.58,0.98,39.8,19.9,2.16,47.68,46.13,50.78,2.0,64,งบอีก 28 วัน,51.38,7.76,pre,ran,RSI 40 · %B -0.11 · -7.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CVS,42.9,87.6,-1.4,-8.32,-5.83,1.54,27.3,33.2,2.62,87.6,84.15,94.5,2.0,29,งบอีก 36 วัน,87.91,0.35,pre,ok,RSI 27 · %B -0.10 · -8.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,41.9,269.63,-3.49,-5.42,-12.47,2.5,24.3,29.2,2.2,269.63,260.75,287.4,2.0,11,งบอีก 30 วัน,270.98,0.5,pre,ok,RSI 24 · %B 0.03 · -5.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,35.4,57.96,0.4,-2.54,-6.05,0.92,31.1,26.5,2.18,57.96,56.06,61.75,2.0,52,งบอีก 22 วัน,58.04,0.14,pre,ok,RSI 31 · %B 0.07 · -2.5% ใน 5 วัน แต่ยังเหนือ SMA200
