side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,JPM,52.3,337.53,-0.73,-3.26,-5.37,0.98,33.4,16.4,2.08,337.53,327.02,358.56,2.0,9,งบอีก 19 วัน,338.81,0.38,pre,ok,RSI 33 · %B -0.17 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLF,50.0,54.54,-0.47,-2.49,-6.47,1.3,28.4,24.7,1.36,54.54,53.43,56.77,2.0,89,ไม่ทราบวันงบ,54.63,0.17,pre,ok,RSI 28 · %B -0.05 · -2.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,USB,48.6,58.48,-3.24,-6.01,-6.31,1.02,31.3,18.8,2.13,58.48,56.61,62.22,2.0,53,งบอีก 21 วัน,58.48,0.0,pre,ok,RSI 31 · %B -0.13 · -6.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ABNB,46.2,149.58,-10.35,-11.13,-21.36,3.04,27.0,24.7,3.78,149.58,141.11,166.52,2.0,11,งบอีก 42 วัน,151.75,1.45,pre,ok,RSI 27 · %B -0.12 · -11.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CTAS,45.7,191.97,-2.49,-3.51,-7.44,1.78,33.5,13.8,2.08,191.97,185.98,203.95,2.0,16,งบอีก -1 วัน,191.97,-0.0,pre,ok,RSI 34 · %B -0.17 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BAC,41.9,56.0,-0.36,-3.28,-10.3,0.99,24.8,30.5,2.28,56.0,54.08,59.84,2.0,52,งบอีก 20 วัน,56.2,0.36,pre,ok,RSI 25 · %B 0.02 · -3.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,OKE,41.6,90.54,-1.37,-4.41,-2.67,0.8,38.5,18.9,2.73,90.54,86.84,97.94,2.0,27,งบอีก 33 วัน,92.0,1.61,pre,ok,RSI 38 · %B -0.07 · -4.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,VZ,40.0,46.52,0.15,-6.51,-7.42,0.98,34.6,22.8,2.29,46.52,44.92,49.71,2.0,62,งบอีก 26 วัน,47.0,1.03,pre,ok,RSI 35 · %B -0.05 · -6.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,V,39.4,361.52,-2.28,-3.75,-5.46,0.81,40.4,14.2,1.65,361.52,352.56,379.43,2.0,11,งบอีก 33 วัน,362.9,0.38,pre,ok,RSI 40 · %B -0.01 · -3.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,FIVE,33.0,227.41,-3.7,-3.67,-13.44,1.03,41.5,26.1,4.58,227.41,211.47,258.62,1.96,6,งบอีก 69 วัน,226.0,-0.62,pre,ok,RSI 41 · %B -0.02 · -3.7% ใน 5 วัน แต่ยังเหนือ SMA200
